correct,init_belief,direction,variable,true_false,condition,model_name,temperature,method
1,0,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
0,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
0,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
0,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
0,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
0,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
0,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
0,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
0,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
0,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
0,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
0,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
0,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
0,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
0,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
0,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
0,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,true,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,false,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
0,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
0,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
0,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
0,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
0,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
0,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
0,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
0,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
0,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
0,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
0,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
0,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
0,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
0,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
0,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
0,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
0,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
0,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
0,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
0,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
0,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
0,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
0,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
1,0,forward,belief,false,belief,openai_text-davinci-003_0,0,0shot
0,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
0,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
0,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
0,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
0,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
0,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
0,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
0,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
0,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
0,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
0,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
0,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
0,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
0,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,0,forward,belief,false,belief,gpt-3.5-turbo_0,0,0shot
1,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
0,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,1,forward,belief,true,belief,meta-llama_Llama-2-7b-hf_0,0,0shot
1,1,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
0,1,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
0,1,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
0,1,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,1,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,1,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
0,1,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,1,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,1,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
0,1,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,1,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,1,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
0,1,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,1,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
0,1,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,1,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
0,1,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
0,1,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
0,1,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,1,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
0,1,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
0,1,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
0,1,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
0,1,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
0,1,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
1,1,forward,belief,true,belief,openai_text-davinci-003_0,0,0shot
